cityCode,cityName,wellnessCentreCode,wellnessCentreName,wellnessCentreAddress,doctorCount,category,wellnessCentreContactNo,longitude,latitude
011,DELHI/NCR,AY19,"Dev Nagar (Ayurvedic)",NA,2,ayurvedic,25860275,77.184028625488,28.654448
011,DELHI/NCR,AY61,"Janak Puri-I (Ayurvedic)",NA,2,ayurvedic,25534868,77.089332580566,28.621658
011,DELHI/NCR,AY67,"Laxmi Nagar Ayurvedic",NA,2,ayurvedic,"011-22543108/ 22466544",77.277275085449,28.630713
011,DELHI/NCR,AY80,"Paschim Vihar (Ayurvedic)",NA,3,ayurvedic,25171213,77.112274169922,28.645285
011,DELHI/NCR,D15,"LAXMIBAI NAGAR",NA,4,alopathic,011-26874643,77.206520080566,28.575865
011,DELHI/NCR,D18,"Pusa Road",NA,5,alopathic,"28758071, 28754318",77.18953704834,28.644466
011,DELHI/NCR,D27,"President Estate",NA,3,alopathic,"23094777 23092990",77.199020385742,28.6243
011,DELHI/NCR,D34,"Telegraph Lane",NA,3,alopathic,"23326601 23318949",77.221832275391,28.621157
011,DELHI/NCR,D36A,Dwarka,NA,7,alopathic,25056722,77.08275604248,28.59262
011,DELHI/NCR,D50,"R K PURAM-III",NA,4,alopathic,,77.17342376709,28.565052
011,DELHI/NCR,D52,"RK Puram IV,Sec8",NA,4,alopathic,011-26173988,77.166931152344,28.571602
011,DELHI/NCR,D56,"GKG WC ",NA,5,alopathic,011-22512866,77.284027099609,28.65882
011,DELHI/NCR,D72,"KASTURBA NAGAR-II",NA,3,alopathic,011-24622736,77.228942871094,28.575907
011,DELHI/NCR,D76,"Kali Bari",NA,5,alopathic,23743142,77.200248718262,28.62901
011,DELHI/NCR,D79,"Vivek Vihar",NA,4,alopathic,011-22143551,77.318252563477,28.663721
011,DELHI/NCR,D82,"Sunder Vihar",NA,4,alopathic,,77.102737426758,28.669186
011,DELHI/NCR,D9,"Aliganj,LodiRoad1",NA,5,alopathic,24611538,77.218063354492,28.580954
011,DELHI/NCR,D90,"SARITA VIHAR",NA,5,alopathic,011-26940651,77.300666809082,28.53862
011,DELHI/NCR,D94,Sahibabad,NA,5,alopathic,0120-2630066,77.350128173828,28.684004
011,DELHI/NCR,HO7,"Timarpur Homeopathic",NA,2,homeo,011-23813808,77.221664428711,28.706379
0141,JAIPUR,JA2,"JANTA COLONY",NA,2,alopathic,,75.836952209473,26.907198
0141,JAIPUR,JA5,"Jyoti Nagar",NA,6,alopathic,0141-2743263,75.795593261719,26.89531
0141,JAIPUR,JA7,"VIDHYADHAR NAGAR",NA,5,alopathic,0141-2335850,75.785720825195,26.966885
020,PUNE,PU08,"Bajirao Road",NA,3,alopathic,020-24471602,73.874549865723,18.55219
022,MUMBAI,MU23,Parel,NA,2,alopathic,022–24187276,72.843238830566,18.99578
022,MUMBAI,MU8,Koliwada,NA,8,alopathic,022–24013694,72.86637878418,19.029572
022,MUMBAI,MU9,"CLI Sion",NA,1,alopathic,022–24081616,72.866775512695,19.04969
033,KOLKATA,KO12,"Salt Lake AF",NA,2,alopathic,23374635,88.421539306641,22.598293
033,KOLKATA,KO13,Airport,NA,7,alopathic,25119442,88.426300048828,22.63621
033,KOLKATA,KO14,"Lake Town",NA,3,alopathic,25222137,88.402359008789,22.608047
033,KOLKATA,KO16,"Salt Lake EB",NA,2,alopathic,23344849,88.407157897949,22.586054
03592,GANGTOK,GK1,Gangtok,NA,1,alopathic,,88.606460571289,27.344988
0361,GUWAHATI,GT3,Gotanagar,NA,2,alopathic,0361-2670255,91.674942016602,26.13751
0364,SHILLONG,SH1,"Wellness Centre Laitumkhrah",NA,2,alopathic,0364-2501569,91.902336120605,25.567507
040,HYDERABAD,HY2,Humayunnagar,NA,6,alopathic,040-23531833,78.439331054688,17.38202
040,HYDERABAD,HY4,Begumpet,NA,6,alopathic,040-27904259,78.472442626953,17.445042
040,HYDERABAD,HY5,Himayatnagar,NA,6,alopathic,040-23220454,78.477882385254,17.40563
040,HYDERABAD,HY7,Malakpet,NA,6,alopathic,040-27529090,78.501121520996,17.371193
040,HYDERABAD,HY9,Alwal,NA,5,alopathic,040-27972563,78.506202697754,17.50906
044,CHENNAI,CH05,GUINDY,NA,4,alopathic,044-23458405,80.221733093262,13.010337
044,CHENNAI,CH07,MEENAMBAKKAM,NA,5,alopathic,044-23458407,80.176445007324,12.980883
044,CHENNAI,CH13,TRIPLICANE,NA,1,alopathic,044-23458413,80.286636352539,13.069741
0512,KANPUR,KN1,"Saket Nagar",NA,4,alopathic,0512-2666240,80.317657470703,26.435453
0512,KANPUR,KN6,"Raksha Vihar",NA,4,alopathic,0512-2424311,80.361404418945,26.422136
0512,KANPUR,KN8,"Azad Nagar",NA,3,alopathic,0512-2560272,80.306259155273,26.500862
0522,LUCKNOW,LK10,"AYURVEDIC LUCKNOW",NA,2,ayurvedic,,80.947494506836,26.83356
0522,LUCKNOW,LK5,Lucknow5,NA,6,alopathic,0522-2235139,80.947494506836,26.83356
0532,ALLAHABAD,AL05,"Kendranchal Colony",NA,5,alopathic,,81.777359008789,25.454859
0532,ALLAHABAD,ALA1,"AYURVEDIC UNIT",NA,2,ayurvedic,,81.830924987793,25.449434
0712,NAGPUR,NP3,"PANCH PAOLI",NA,4,alopathic,,79.100326538086,21.173529
0712,NAGPUR,NP5,"MEDICAL SQUARE",NA,3,alopathic,,79.097015380859,21.131998
0712,NAGPUR,NP6,"SHANKAR NAGAR",NA,3,alopathic,0712-2249781,79.056648254395,21.134077
0712,NAGPUR,NPA2,"AYURVEDIC WC No. 2 NAGPUR",NA,2,ayurvedic,,79.057464599609,21.158367
0731,INDORE,IN1,INDORE1,NA,2,alopathic,,75.885894775391,22.711237
079,AHMEDABAD,AH09,Maninagar,NA,4,alopathic,"079 25467055",72.601043701172,22.998863
080,BENGALURU,BA03,"Wellness Center Basavangudi",NA,4,alopathic,"080 2667300",77.547332763672,12.935114
080,BENGALURU,BA14,"KA HOMOEO SHIVAJINAGAR",NA,2,homeo,,77.603233337402,12.980467
011,DELHI/NCR,999,"Virtual Dispensary",NA,13,alopathic,,0,0
011,DELHI/NCR,AY60,"Kingsway Camp Ayurvedic",NA,2,ayurvedic,011-27459411,77.201965332031,28.698978
011,DELHI/NCR,D11,LAJPATNAGAR,NA,4,alopathic,011-29816439,77.239105224609,28.572266
011,DELHI/NCR,D2,"Pandara Road",NA,4,alopathic,"23385040 23073054",77.227401733398,28.602995
011,DELHI/NCR,D40,Jangpura,NA,3,alopathic,011-24312213,77.245330810547,28.582262
011,DELHI/NCR,D42,"Kalkaji – I",NA,7,alopathic,011-26430851,77.258293151855,28.54032
011,DELHI/NCR,D43,"R.K.Puram I,Sec 4",NA,5,alopathic,011-26175132,77.179229736328,28.56311
011,DELHI/NCR,D44,"Dr. Zakir Hussain Road",NA,6,alopathic,23383724,77.234680175781,28.605564
011,DELHI/NCR,D45,"New Rajinder Ngr",NA,5,alopathic,28742850,77.184494018555,28.635836
011,DELHI/NCR,D51,"CHITRA GUPTA ROAD",NA,6,alopathic,,77.208213806152,28.642258
011,DELHI/NCR,D59,"Rajpur Road",NA,2,alopathic,011-23973646,77.216262817383,28.66859
011,DELHI/NCR,D61,Janakpuri-I,NA,11,alopathic,25551434,77.089332580566,28.621658
011,DELHI/NCR,D62,"Ashok Vihar",NA,4,alopathic,27242028,77.163703918457,28.693634
011,DELHI/NCR,D67,Laxminagar,NA,9,alopathic,"011-22543108 011-22466544",77.277275085449,28.630802
011,DELHI/NCR,D68,Ghaziabad,NA,9,alopathic,0120-2789969,77.463691711426,28.68051
011,DELHI/NCR,D70,Faridabad,NA,6,alopathic,0129-2412729,77.297737121582,28.405228
